name,rate,votes,location,cuisines,approx_cost(for two people)
Baker's Treat,,0,Koramangala 7th Block,"Bakery, Desserts",350
Al-Hyatt,-,0,Ejipura,"Biryani, Chinese",300
Sugary Bakers - A Boutique Bakery,-,0,Koramangala 3rd Block,"Bakery, Desserts",200
Sapfresh,-,0,Koramangala 4th Block,Beverages,150
Ammayi Thakkaram,-,0,BTM,"Kerala, South Indian",400
Kombo King,-,0,Koramangala 4th Block,"North Indian, South Indian",300
Hit And Run,-,0,Koramangala 4th Block,"Chinese, Tibetan",300
Chalo Delhi Darbaar,-,0,Ejipura,"North Indian, Mughlai, Chinese",400
Amma's Special,-,0,Koramangala 1st Block,South Indian,400
Hotel Atithi North Karnataka Mess,-,0,Koramangala 1st Block,South Indian,150
Juicy Juice,-,0,Ejipura,"Beverages, Ice Cream",100
Yaduvanshi Hotel,-,0,BTM,"Bihari, Chinese",300
Holige Mane,-,0,BTM,South Indian,150
Apsara Ice Cream,4.2 /5,171,Koramangala 5th Block,Ice Cream,200
Singh Punjabi Dhaba,3.8 /5,67,BTM,"North Indian, Chinese",400
Pai's Kitchen,3.4 /5,13,Koramangala 2nd Block,South Indian,200
Spoorthi Ice Cream,-,0,BTM,"Desserts, Ice Cream",150
Desi Tadka,-,0,Ejipura,North Indian,200
Maruti Garden,-,0,BTM,"North Indian, Kerala",500
Aisha Tharavad,-,0,Ejipura,"South Indian, Kerala",400
Guntur's Vandanam Food Zone,-,0,Koramangala 1st Block,"Andhra, Chinese, North Indian",300
Virgins,-,0,Ejipura,Fast Food,150
Take Us Away,-,0,Koramangala 5th Block,Continental,
Oveanly,-,0,BTM,Bakery,200
Coffee Time,-,0,BTM,"Sandwich, Juices, Burger",150
D-Ra's Delicacy,-,0,Koramangala 7th Block,"Chinese, Bakery",400
"When Hunger Strikes, Batman Delivers!",-,0,HSR,Fast Food,400
Oolala,-,0,Koramangala 1st Block,"Bakery, Desserts",600
Foodzoo,-,0,Koramangala,"Fast Food, Burger",450
Smack,-,0,Koramangala 1st Block,Fast Food,
Bhaiyajees,-,0,Koramangala 8th Block,"North Indian, South Indian",300
Ayush Reddy Tiffins & Fast Food Center,-,0,BTM,"South Indian, Fast Food, Chinese",300
RK Fast Food,-,0,BTM,"South Indian, Chinese",300
The Nourished Kitchen,-,0,BTM,"Asian, Continental, Healthy Food",400
FNC Seafood,-,0,Koramangala 5th Block,"Seafood, Fast Food",400
Desi Curry,-,0,HSR,North Indian,450
Paradise Food Court,-,0,BTM,"North Indian, Chinese",400
Blends Juice Cafe,-,0,BTM,"Beverages, Desserts",200
Rahar Momo & Cane,-,0,Marathahalli,Fast Food,200
SV Food Garden,-,0,Koramangala 8th Block,"Chinese, North Indian, South Indian, Hyderabadi",
Ginger restaurant,-,0,Koramangala 3rd Block,"Continental, Chinese, North Indian",400
Darjeeling Hot Momos,-,0,Koramangala 5th Block,"Momos, Fast Food",300
Sri Annapoorna Andhra Mess,-,0,Koramangala 5th Block,Andhra,300
ThugLife Rolls,-,0,Hosur Road,Rolls,200
Chai Makhan,-,0,BTM,"North Indian, Chinese, South Indian",300
Surabhi Restaurant,-,0,Hosur Road,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",400
Moonlights Kitchens,-,0,Koramangala 1st Block,"North Indian, Chinese",400
Smack Cafe,3.3 /5,4,Koramangala 1st Block,Cafe,400
Kshera Sagar,3.3 /5,4,Koramangala 8th Block,"South Indian, North Indian",350
Midnight Special,3.7 /5,26,HSR,"North Indian, Fast Food, Chinese",500
Star Bowl,3.7 /5,27,HSR,"North Indian, Chinese, Rolls",700
Victoria Terminus,3.4 /5,6,Ejipura,"Fast Food, Maharashtrian, Rolls",250
Deepam Tiffins,-,0,BTM,"South Indian, North Indian, Chinese",300
Chettinad Food House,3.1 /5,7,BTM,"South Indian, Chettinad, North Indian",300
Delhi Home Food,3.3 /5,6,Koramangala 1st Block,"North Indian, South Indian",200
La Lunch Box,,0,,,
Big Bowl Theory,3.1 /5,27,Koramangala,Continental,400
Kaaka T Cafe,3.5 /5,6,BTM,Fast Food,400
Melt,4.0 /5,115,BTM,"Continental, Steak, Fast Food","1,000"
Avanti Indian Barbeque & Grill,3.4 /5,46,Domlur,North Indian,"1,100"
Food Junction,3.6 /5,44,BTM,"North Indian, Chinese, Street Food, Biryani",400
Hotel Orchid,-,0,BTM,"North Indian, South Indian, Chinese, Kerala",500
Game Of Pizzas,3.7 /5,16,Koramangala 4th Block,Italian,500
Neer Dosa Fish Land,3.6 /5,39,BTM,"Seafood, Mangalorean",600
Hunger Meals,3.8 /5,31,Koramangala 4th Block,"South Indian, North Indian, Biryani",400
Dash In,3.1 /5,53,BTM,"North Indian, Chinese, Kerala",600
Bruncherz,3.5 /5,15,BTM,"North Indian, Chinese",200
Ronnie's Kitchen,3.1 /5,12,Koramangala 5th Block,Chinese,200
De Street Cafe,3.6 /5,61,BTM,Cafe,500
Cafe Hush,3.6 /5,22,BTM,"Cafe, Fast Food",500
The Tower Of Pizza,2.9 /5,16,Koramangala 5th Block,"Pizza, Italian",500
What the Food,3.6 /5,38,BTM,"North Indian, Chinese, Fast Food",250
Martino's,3.6 /5,30,Koramangala 1st Block,"Italian, Pizza",350
Hotel Thazooq,3.3 /5,6,Koramangala 1st Block,"North Indian, Chinese, Biryani",350
sCoolMeal,,0,BTM,"North Indian, South Indian, Chinese, Pizza",300
Cupcake Bliss,,0,Koramangala 7th Block,Bakery,250
Banashankari Donne Biriyani,3.3 /5,4,Koramangala 7th Block,"South Indian, Biryani",300
Daily & Divine,,0,Koramangala 5th Block,"Fast Food, Juices",200
Royale Biryani,,0,Koramangala 1st Block,Biryani,500
S.W.A.T Food Truck,3.7 /5,21,Koramangala 5th Block,"American, Fast Food",250
Tandoor-De-Naal,3.8 /5,35,BTM,Fast Food,200
Tummy Delight,3.5 /5,16,BTM,North Indian,400
Hungry Bowl,3.6 /5,51,Koramangala 5th Block,"North Indian, Chinese, Italian",500
Confectionery Chocolates,,0,Koramangala 4th Block,Bakery,500
The Night King,3.3 /5,4,Koramangala 7th Block,"North Indian, Chinese",400
Niice Cream,3.8 /5,38,Koramangala 5th Block,"Ice Cream, Beverages, Desserts",400
Maven Foods,3.6 /5,12,Koramangala 4th Block,"Continental, North Indian, South Indian",650
New Farm Fresh,3.6 /5,34,BTM,"Italian, Pizza",650
Urban Spice,3.6 /5,23,Ejipura,"North Indian, Chinese, Continental",800
Chai Mane,3.0 /5,8,Koramangala 5th Block,"Juices, Fast Food",150
Parathe Wali Gali,3.4 /5,36,Ejipura,"North Indian, Beverages",
Ambur Hot Dum Biryani,3.3 /5,8,Ejipura,Biryani,100
Chowmein Kitchen,,0,Ejipura,"Fast Food, Chinese",150
Hotel Oottupura,3.6 /5,21,Ejipura,South Indian,200
Amrutha Mess,3.4 /5,6,BTM,Kerala,300
La Mirch,3.1 /5,6,Koramangala 1st Block,"North Indian, Kashmiri",400
Eat Repeat Express,3.5 /5,10,Koramangala 5th Block,"North Indian, Chinese, Continental",600
Two States,3.4 /5,5,BTM,"North Indian, South Indian, Chinese, Street Food",250
Big Box Theory,3.6 /5,11,Ejipura,"Salad, Healthy Food, Fast Food",550
Dine in Restaurant,3.4 /5,7,BTM,"South Indian, North Indian, Chinese",500
Sri Sharana Basaveshwara Khanavali,,0,BTM,South Indian,200
King's Cafe And Restro,,0,HSR,"North Indian, Biryani",500
Big Foody's,3.2 /5,4,Koramangala 8th Block,"North Indian, Chinese, South Indian, Fast Food",500
Zaiqa,3.4 /5,8,Richmond Road,"North Indian, Chinese",350
Ambur Biriyani Point,3.6 /5,26,BTM,Biryani,150
Amravathi Restaurants & Caterers,3.1 /5,6,BTM,"North Indian, Chinese",400
Jadoo Ka Dabba,3.6 /5,20,Koramangala 3rd Block,"North Indian, Chinese",200
Chaman's Night Kitchen,3.5 /5,11,Koramangala 8th Block,"North Indian, Chinese",400
Pooja's Kitchen,3.7 /5,17,Koramangala 8th Block,"Bengali, Street Food",300
Parivaar,3.3 /5,7,BTM,"Biryani, North Indian, Chinese",600
Innate,3.3 /5,7,Koramangala 7th Block,Beverages,
Y Not Shawarma,3.5 /5,10,BTM,Arabian,300
Fried Chicken Burger,,0,Koramangala 1st Block,Fast Food,400
Alechemy,,0,BTM,North Indian,"1,500"
Malnad Military Hotel,,0,BTM,"South Indian, Chinese",350
Egg D,,0,Koramangala 1st Block,"North Indian, South Indian, Mexican",300
Kanha's Kafe,3.5 /5,12,Koramangala 5th Block,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200
Edigo,,0,Electronic City,"North Indian, South Indian, Chinese",250
New Ambur Dum Biryani,3.2 /5,7,Koramangala 1st Block,"Biryani, Kebab",200
Food Singh,,0,Koramangala 4th Block,North Indian,500
Meal-bowl.com,,0,Koramangala 4th Block,North Indian,300
Brew Cafe,3.2 /5,4,BTM,Fast Food,300
Creamiester Ice Creams,,0,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",300
Food n Fit,,0,Koramangala 7th Block,"North Indian, Chinese",500
Curryvape Restaurant,,0,Koramangala 1st Block,North Indian,300
Food Court,,0,Richmond Road,Fast Food,100
Ludhiana Junction,,0,Koramangala 3rd Block,"South Indian, Rajasthani",300
UKIYO,,0,BTM,"Beverages, Sandwich, Chinese",300
Al Baith,,0,Koramangala 7th Block,"North Indian, Chinese",300
Hungry Nights,3.0 /5,54,BTM,"Chinese, North Indian",300
Kitchen's Sea Food Restaurant,3.4 /5,9,Koramangala 8th Block,"Seafood, North Indian, Chinese",800
WanderCrust,,0,HSR,Pizza,500
Sizzlingo,,0,Koramangala 1st Block,North Indian,600
Evo,,0,Koramangala,"Healthy Food, Salad",500
Cafe Remix,,0,Koramangala,"Mexican, Italian",600
Rolling Rolls,,0,Koramangala 1st Block,"Fast Food, Rolls",450
FrostBite,3.5 /5,15,Koramangala 5th Block,"Desserts, Fast Food",400
Bengal Metro,,0,Koramangala 1st Block,Bengali,600
Navaneetha,3.3 /5,4,Koramangala 8th Block,"Andhra, Chinese",350
Shater Grill House,3.5 /5,8,BTM,"North Indian, Arabian, Chinese",700
Vegan Khana,,0,Koramangala 1st Block,"Healthy Food, North Indian, Chinese",400
Lets cafe,3.5 /5,6,Koramangala 5th Block,"Chinese, North Indian",250
Eat up's Cloud Kitchen,NEW,0,Koramangala 1st Block,"Arabian, BBQ, Biryani, Chinese, Continental, Ice Cream, North Indian, South Indian",200
Garden Hotel,NEW,0,Koramangala 1st Block,"North Indian, Chinese, South Indian",400
Cafe Sulaimani,NEW,0,BTM,"Kerala, South Indian, Biryani",300
Chocolate Bomb,,0,BTM,Bakery,300
Aaharam,4.0 /5,65,Koramangala 1st Block,"Chinese, North Indian",350
Malabar Mint,3.4 /5,39,Koramangala 5th Block,"Kerala, North Indian, Chinese",700
Tit Bits,,0,BTM,"North Indian, Fast Food",400
Blu Dale Fast Food,3.3 /5,7,Ejipura,"Chinese, North Indian, Andhra, Seafood",250
Hunger House 32,,0,Ejipura,"North Indian, Chinese",300
Kalpana's Kitchen,NEW,0,Ejipura,"Bengali, North Indian",400
Rayalaseema Abhiruchulu,NEW,0,BTM,"North Indian, South Indian, Chinese",250
GR Foods,NEW,0,BTM,"Andhra, Biryani",350
NY8LIFE,3.2 /5,4,BTM,"North Indian, Rolls, Biryani",300
New Udupi Dharshini,NEW,0,BTM,"South Indian, Chinese",150
Holiday Fast Food,3.4 /5,21,Ejipura,"Kerala, South Indian, Chinese",350
Food Treat,,0,Koramangala 1st Block,"North Indian, Chinese, Kerala",400
9 Bowls,NEW,0,Koramangala 1st Block,"Healthy Food, Continental, North Indian, Chinese",500
Svadu Sweets,3.3 /5,6,BTM,"Street Food, Mithai",200
Durga Maata Hotel,,0,Ejipura,"North Indian, Chinese",200
Navab's,3.6 /5,9,Koramangala 4th Block,Mughlai,600
Choo Zi,NEW,0,Koramangala 5th Block,Chinese,300
Homemade,,0,Koramangala 1st Block,North Indian,450
Lassi House,,0,Ejipura,"Beverages, Desserts",150
Oven Fresh,,0,Domlur,"Bakery, Fast Food",600
Midnight Pizza Slurpp,3.7 /5,99,Koramangala 4th Block,"Italian, Pizza",700
Bombay Kulfi,,0,Koramangala 1st Block,"Desserts, Ice Cream",150
Mongolian Kitchen,3.8 /5,30,BTM,"Chinese, Mongolian",300
The 90s Hash House,3.8 /5,63,BTM,Cafe,500
Night Panda,3.8 /5,196,Koramangala 1st Block,"Fast Food, Chinese, North Indian, American",500
Nutrition on Wheels,2.9 /5,23,BTM,Healthy Food,300
Hotel Feast Ambur Biriyani,3.4 /5,257,Koramangala 1st Block,"Biryani, Kebab",250
Ambur Hot Dum Biryani,3.5 /5,21,BTM,Biryani,200
BMR Hyderabad Biryani,3.6 /5,24,BTM,Biryani,400
Super Chef's (New Royal treat),,0,Bannerghatta Road,"North Indian, Chinese, South Indian",
Nonveg Dreams,NEW,0,Koramangala 2nd Block,"Biryani, North Indian",500
Dawat E Biryani,NEW,0,Koramangala 1st Block,Biryani,200
Dipd N Chocolate,NEW,0,Koramangala 7th Block,"Cafe, Desserts",300
Al-Hind Sagar Kathi Rolls,,0,Old Airport Road,Rolls,150
Best Shawarmas,,0,BTM,Rolls,300
Hottey Smokey,,0,HSR,"Asian, Salad, Italian",400
Shyamali Fast Food Kolkata Style,,0,Ejipura,"Biryani, Chinese, North Indian",250
Sreeraj Lassi Bar,4.0 /5,87,BTM,Beverages,200
Go Italia,NEW,0,HSR,"Italian, Pizza, Fast Food",500
Kebarbiq,4.0 /5,138,Koramangala 7th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800
Red Bawarchi,3.0 /5,21,BTM,"Biryani, Chinese, North Indian",600
Sk Grand Hotel,3.2 /5,6,Jayanagar,South Indian,400
Snack Souq,,0,BTM,"Chinese, Rolls",250
Pakiza Dilli Darbar Restaurant,3.2 /5,13,BTM,Biryani,300
Haji Ali Juice Centre,4.0 /5,152,Koramangala 5th Block,"Beverages, Fast Food, Desserts",350
SNACKOMATE,,0,Koramangala 5th Block,Fast Food,300
Juice Lounge,3.1 /5,28,BTM,"Beverages, Healthy Food",250
Mangala's Tea Time Cafe,,0,Koramangala 1st Block,"Tea, Fast Food",150
Peppers,2.8 /5,94,Ejipura,"North Indian, Chinese",300
Deccan Spices,3.7 /5,24,Richmond Road,"Biryani, Mughlai, Fast Food",500
Rimo,3.9 /5,44,Koramangala 5th Block,"Tibetan, Asian, Momos",500
Halo Chef,3.9 /5,144,Koramangala 4th Block,North Indian,500
Yum's The Word!,,0,Koramangala 4th Block,Chinese,200
Hungry Birds,3.2 /5,6,Koramangala 7th Block,Chinese,300
Bowlful,3.6 /5,12,Domlur,North Indian,500
The Biriyani Factory,3.1 /5,30,BTM,"North Indian, Biryani",500
TangyLicious,2.6 /5,16,BTM,Fast Food,400
The Duke of Juices,2.8 /5,5,HSR,"Juices, Beverages, Salad",200
Wings Mama,,0,HSR,"American, Fast Food",300
Bullet Biryani,3.2 /5,9,BTM,Biryani,300
Cafe Talkhouse,3.8 /5,23,HSR,North Indian,
Bhandary's Kitchen,3.6 /5,16,Koramangala 7th Block,North Indian,300
Hungry Stone,,0,Koramangala 5th Block,"North Indian, Chinese, Italian, Thai",300
Bajji House,3.5 /5,7,HSR,Street Food,100
Frozen Bite,,0,Old Airport Road,Beverages,250
Cravisthan,NEW,0,Domlur,"South Indian, North Indian",500
Biryani Spot,3.5 /5,9,BTM,"South Indian, Biryani",300
FoodNite,,0,BTM,"North Indian, Chinese, Fast Food",300
Aata's Kitchen,3.3 /5,8,Koramangala 1st Block,"South Indian, North Indian",250
Harilal ka Bihari Dhaba,,0,Koramangala 1st Block,"North Indian, Bihari",250
Wedding Biryani,NEW,0,HSR,"Biryani, Kebab",600
Cilantro,4.0 /5,281,Koramangala 4th Block,"European, American, Continental, North Indian, Steak","1,500"
Just Sandwiches,3.6 /5,10,BTM,Sandwich,100
Chinese Fire Dragon,3.4 /5,25,Domlur,"Chinese, North Indian, Momos",550
Pabrai's Fresh & Naturelle Icecreams,3.9 /5,128,Koramangala 5th Block,"Ice Cream, Desserts",200
Delicious Demons,3.3 /5,26,Koramangala 1st Block,Continental,400
Super Thali,,0,BTM,North Indian,400
Jagan's Hotel,,0,HSR,"South Indian, North Indian",200
Tandoor Nation,3.0 /5,39,BTM,"North Indian, Chinese",400
#L-81 Cafe,3.9 /5,48,HSR,"Fast Food, Beverages",400
House Of Wholewheat,3.1 /5,6,Koramangala 1st Block,"Bakery, Desserts",200
Dabba Karkhana,3.5 /5,17,BTM,North Indian,300
Eat Sleep Eat Repeat,3.5 /5,16,Koramangala 5th Block,"Chinese, North Indian, Continental",200
IceBreakers,3.6 /5,7,HSR,"Desserts, Ice Cream",500
Delhi Food Factory,,0,HSR,North Indian,500
Vinny's,4.1 /5,366,Domlur,"Burger, Desserts, Italian, Pizza, Salad",600
The Bier Library,4.3 /5,567,Koramangala 6th Block,"Continental, North Indian, Pizza, BBQ","2,000"
Zee5 Loft,4.4 /5,363,Koramangala 6th Block,"Cafe, North Indian, Pizza, Sandwich, Salad",500
Eat Street,4.2 /5,1534,Koramangala 6th Block,"North Indian, Chinese, Italian, Street Food, Desserts",600
Carrots,4.1 /5,603,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts","1,100"
Polar Bear,4.2 /5,195,Koramangala 6th Block,"Desserts, Ice Cream, Beverages, Sandwich",400
IceBreakers,4.5 /5,494,Koramangala 6th Block,"Desserts, Ice Cream",500
Aubree Le Chocolatier,3.6 /5,19,Koramangala 6th Block,Desserts,300
Sweet Truth,4.1 /5,23,Koramangala 6th Block,"Bakery, Desserts",500
Iyengar's Bakery,3.5 /5,11,Koramangala 6th Block,Bakery,200
Bansuri Sweets,3.7 /5,73,Koramangala 6th Block,"Mithai, North Indian, Street Food",250
Stoned Monkey,4.1 /5,511,Koramangala 6th Block,"Desserts, Ice Cream",500
Uday Sweets,3.5 /5,34,Koramangala 6th Block,"Mithai, Fast Food",250
Krispy Kreme,3.4 /5,10,Koramangala 6th Block,"Desserts, Beverages",300
The Choux Box,3.5 /5,11,Koramangala 6th Block,"Desserts, Bakery",300
Straight From The Heart,3.4 /5,5,Koramangala 6th Block,"Bakery, Desserts",300
Delightz,4.0 /5,40,Koramangala 6th Block,"Desserts, Fast Food",300
Fetchpod Cafe,2.9 /5,12,Koramangala 6th Block,"Cafe, North Indian, Chinese, Continental",500
The Sweet Spot,4.0 /5,157,Koramangala 6th Block,Desserts,300
Baskin Robbins,3.0 /5,66,Koramangala 6th Block,"Ice Cream, Desserts",250
Kurtoskalacs,4.6 /5,272,Koramangala 5th Block,"Desserts, Fast Food",400
Bonsouth,4.2 /5,2620,Koramangala 5th Block,"Chettinad, Andhra, Kerala","1,300"
Onesta,4.4 /5,9080,Koramangala 4th Block,"Pizza, Cafe, Italian",600
Third Wave Coffee Roasters,4.4 /5,1225,Koramangala 4th Block,"Cafe, Continental, Desserts",800
Sixth Avenue Cafe And Patisserie,4.4 /5,174,Koramangala 5th Block,"Cafe, Italian, Desserts",600
Bistro Claytopia,4.1 /5,1855,Koramangala 1st Block,"Cafe, American, Italian, Burger",600
XO Belgian Waffle,4.6 /5,834,Koramangala 5th Block,"Desserts, Beverages",400
Stoner,4.5 /5,2621,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500
Roundup Cafe,4.2 /5,505,Koramangala 5th Block,"Cafe, Continental, Beverages",800
Lot Like Crepes,4.6 /5,1026,Koramangala 7th Block,"Cafe, Desserts, Continental",550
Snow'ora,4.3 /5,343,Koramangala 4th Block,"Desserts, Ice Cream, Beverages",450
Krem,4.1 /5,61,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich",450
Occasions,4.3 /5,190,Koramangala 4th Block,"Bakery, Desserts",400
Anand Sweets And Savouries,4.2 /5,1077,Koramangala 5th Block,"Mithai, Street Food",400
99 Pancakes,4.5 /5,345,Koramangala 5th Block,"Desserts, Cafe",300
eat.fit,4.6 /5,155,Koramangala 5th Block,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500
CakeZone,3.9 /5,124,Koramangala 4th Block,"Bakery, Desserts",500
Art of Delight,4.3 /5,450,Koramangala 5th Block,"Ice Cream, Desserts, Beverages",400
Vegan Heat,4.1 /5,314,Koramangala 1st Block,"Healthy Food, Salad",650
Corner House Ice Cream,4.6 /5,278,Koramangala 5th Block,"Ice Cream, Desserts",400
Fresh Pressery Cafe,4.1 /5,141,Koramangala 5th Block,"Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Berry'd Alive,4.3 /5,1902,Koramangala 5th Block,Desserts,400
Tangerine - Davanam Sarovar Portico Suites,4.0 /5,151,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","1,100"
Smally's Resto Cafe,4.2 /5,1705,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",650
Cupcake Noggins,4.1 /5,724,Koramangala 4th Block,"Desserts, Bakery",300
Cream Chemistry,3.9 /5,231,Koramangala 5th Block,"Ice Cream, Desserts",500
Smoor,4.2 /5,603,Koramangala 7th Block,"Desserts, Beverages",900
The Belgian Waffle Co.,4.2 /5,180,Koramangala 5th Block,"Desserts, Beverages",350
BelgYum,4.0 /5,69,Koramangala 7th Block,Desserts,400
Belgian Waffle Factory,4.8 /5,189,Koramangala 5th Block,Desserts,400
Bite Me Cupcakes,4.1 /5,192,Koramangala 4th Block,Desserts,300
Natural Ice Cream,4.5 /5,941,Koramangala 1st Block,"Ice Cream, Beverages",200
Frozen Bottle,4.1 /5,240,Koramangala 5th Block,"Beverages, Desserts, Ice Cream",400
The Marash,4.3 /5,68,Koramangala 5th Block,"Turkish, Desserts",250
Om Sweets & Snacks,3.9 /5,34,Koramangala 5th Block,"Mithai, Oriya, Bengali",150
Banchharam,3.9 /5,140,Koramangala 7th Block,"Street Food, Mithai",200
Mad Over Donuts,4.2 /5,703,Koramangala 7th Block,"Bakery, Desserts, Beverages",450
CakeWalk,4.0 /5,366,Koramangala 4th Block,"Desserts, Bakery",300
Assi Tussi Lassi,3.6 /5,26,Ejipura,"Beverages, Fast Food, Ice Cream",200
Cream Stone,4.2 /5,340,Koramangala 5th Block,"Desserts, Beverages",500
The Waffles Hut,3.8 /5,23,Koramangala 5th Block,Desserts,400
Black Deer,4.4 /5,149,Koramangala 5th Block,"Beverages, Desserts",350
Lassi Shop,4.1 /5,211,Koramangala 5th Block,"Beverages, Ice Cream",200
Sweet Chariot,4.0 /5,187,Koramangala 7th Block,"Bakery, Fast Food",500
Bakingo,4.0 /5,76,Koramangala 1st Block,"Bakery, Desserts",500
Pabrai's Fresh & Naturelle Icecreams,3.9 /5,128,Koramangala 5th Block,"Ice Cream, Desserts",200
The Kream Story,4.1 /5,37,Koramangala 7th Block,"Desserts, Fast Food",500
Kanti Sweets,3.9 /5,68,Koramangala 3rd Block,"Mithai, Street Food",400
Just Bake,3.8 /5,123,Koramangala 5th Block,"Bakery, Desserts",400
WAFL Co,4.2 /5,53,Koramangala 5th Block,"Desserts, Beverages",400
Keventers,4.0 /5,169,Koramangala 5th Block,"Desserts, Beverages, Ice Cream",400
Ooty Chocolates,4.1 /5,157,Koramangala 4th Block,Desserts,300
Frolic,4.0 /5,34,Koramangala 7th Block,"Juices, Ice Cream",200
Haagen Dazs,3.9 /5,79,Koramangala 7th Block,"Ice Cream, Desserts",800
Bombay Kulfis,3.9 /5,27,Koramangala 5th Block,Ice Cream,200
Maxpresso,4.1 /5,324,Koramangala 7th Block,"Cafe, American, Italian, Beverages",700
Haji Ali Juice Centre,4.0 /5,152,Koramangala 5th Block,"Beverages, Fast Food, Desserts",350
Cookie Man,4.0 /5,100,Koramangala 7th Block,Bakery,150
Gelato Italiano,3.9 /5,110,Koramangala 5th Block,"Ice Cream, Bakery, Desserts",200
Juicy,3.9 /5,43,Koramangala 5th Block,"Beverages, Juices, Fast Food",200
Ibaco,4.2 /5,348,Koramangala 4th Block,Desserts,300
Chocolat Boulangerie Patisserie,4.1 /5,445,Koramangala 4th Block,"Bakery, Continental, Sandwich, Beverages, Desserts",400
The French Loaf,3.8 /5,34,Koramangala 5th Block,"Bakery, Desserts, Sandwich",400
Lakeview Milkbar,3.8 /5,291,Koramangala 8th Block,"Desserts, Cafe, Fast Food",500
Cake Box,3.4 /5,99,Koramangala 8th Block,"Bakery, Desserts",400
Brownie Heaven,3.9 /5,18,Koramangala 5th Block,Desserts,300
The Chocolate Room,3.8 /5,63,Koramangala 7th Block,"Cafe, Desserts, Bakery",600
Royal Bakes,NEW,0,Koramangala 1st Block,Bakery,200
Brownie Points,3.8 /5,25,Koramangala 4th Block,"Bakery, Desserts",300
Lassi Corner,3.5 /5,16,Koramangala 5th Block,"Beverages, Desserts",300
The Donut Baker,3.8 /5,62,Koramangala 7th Block,Desserts,150
Chef Baker's,3.6 /5,37,Koramangala 1st Block,Bakery,450
Kulfi & More,3.5 /5,7,Koramangala 1st Block,"Ice Cream, Beverages",200
Warm Oven,3.9 /5,28,Koramangala 7th Block,"Bakery, Desserts",500
iFruit Live Ice Creams,3.4 /5,10,Koramangala 1st Block,Ice Cream,300
Crave,,0,Koramangala 4th Block,Bakery,600
TRIGEREATO,4.4 /5,103,Koramangala 8th Block,"Cafe, Continental, Beverages",700
Karachi Bakery,3.4 /5,6,Koramangala 5th Block,"Bakery, Desserts",400
Desserts Tree,3.8 /5,87,Koramangala 1st Block,"Mithai, Desserts",100
Cafe On The Way,4.0 /5,275,Koramangala 3rd Block,Cafe,500
Cakes & Candles,3.1 /5,11,Koramangala 5th Block,"Bakery, Desserts",300
Panwaadi,,0,Koramangala 4th Block,"Desserts, Paan",100
INDULGE by InnerChef,3.6 /5,29,Koramangala 7th Block,"Desserts, Bakery",400
Daily Bread,2.8 /5,53,Koramangala 4th Block,"Bakery, Fast Food, Italian",600
Baker's Treat,,0,Koramangala 7th Block,"Bakery, Desserts",350
Sugary Bakers - A Boutique Bakery,,0,Koramangala 3rd Block,"Bakery, Desserts",200
Rolling Station,,0,Koramangala 8th Block,"Desserts, Ice Cream, Beverages",
Amarnath Ice Cream Parlour,,0,Koramangala 1st Block,"Ice Cream, Desserts",200
Apsara Ice Cream,4.1 /5,147,Koramangala 5th Block,Ice Cream,200
Zero Kelvin,4.3 /5,169,Koramangala 4th Block,"Desserts, Beverages",450
Cupcake Bliss,,0,Koramangala 7th Block,Bakery,200
Skinz Ooty Chocolate,,0,Koramangala 8th Block,Desserts,200
Melting Melodies,NEW,0,Koramangala 1st Block,"Bakery, Desserts",600
Baking Delite,,0,Koramangala 7th Block,Desserts,550
Oolala,,0,Koramangala 1st Block,"Bakery, Desserts",600
5 Degree Centigrade,,0,Koramangala 7th Block,"Beverages, Ice Cream",150
Mist n Creams,,0,Ejipura,Ice Cream,400
Chocalot,,0,Koramangala 5th Block,Desserts,800
Vanilla Pod,NEW,0,Koramangala 4th Block,Bakery,300
Smack Cafe,,0,Koramangala 1st Block,Cafe,400
Raptures Chocolates,,0,Koramangala 4th Block,Desserts,250
Cake Fantasy,,0,Koramangala 4th Block,"Desserts, Bakery",300
Forum Bakes & Cafe,,0,Koramangala 8th Block,"Bakery, Fast Food",200
House Of Wholewheat,3.1 /5,6,Koramangala 1st Block,"Bakery, Desserts",200
Waffle In The Box,,0,Ejipura,Desserts,300
Me And My Cake,3.3 /5,5,Koramangala 7th Block,"Bakery, Desserts",500
Arafa Juice Center,3.5 /5,10,Koramangala 5th Block,"Juices, Desserts, Fast Food",250
Shree Mithai,3.3 /5,9,Koramangala 7th Block,"Desserts, Street Food, Mithai",150
Niice Cream,3.8 /5,38,Koramangala 5th Block,"Ice Cream, Beverages, Desserts",400
